GEOID,category,is_hpsa,num_pharmacies_2022,num_pharmacies_2017,num_pharmacies_2012,change_indep_10yr,change_indep_5yr,change_majchain_10yr,change_majchain_5yr
36005028400,HEALTHCARE,True,2.0,2.0,2.0,,,,
36005028400,INDEPENDENT,True,3.0,5.0,1.0,2.0,-2.0,,
36005028500,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36005028800,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36005028900,INDEPENDENT,False,4.0,5.0,3.0,1.0,-1.0,,
36005029302,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36005029500,INDEPENDENT,False,2.0,2.0,2.0,0.0,0.0,,
36005029500,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36005029600,INDEPENDENT,True,1.0,2.0,0.0,1.0,-1.0,,
36005029700,INDEPENDENT,False,1.0,0.0,1.0,0.0,1.0,,
36005029700,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36005030000,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005030202,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36005031200,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005031200,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36005032300,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36005032600,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005033000,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005033000,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36005033601,INDEPENDENT,False,2.0,3.0,2.0,0.0,-1.0,,
36005033700,INDEPENDENT,False,1.0,0.0,0.0,1.0,1.0,,
36005033801,INDEPENDENT,False,1.0,0.0,1.0,0.0,1.0,,
36005033802,INDEPENDENT,False,2.0,1.0,1.0,1.0,1.0,,
36005034000,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005034200,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005034200,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005034400,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005035800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005035900,INDEPENDENT,True,2.0,2.0,0.0,2.0,0.0,,
36005036000,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005036100,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005036300,INDEPENDENT,True,4.0,4.0,3.0,1.0,0.0,,
36005036400,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005036501,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005036502,INDEPENDENT,True,4.0,4.0,3.0,1.0,0.0,,
36005036800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005036901,INDEPENDENT,True,2.0,0.0,0.0,2.0,2.0,,
36005036901,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005037000,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005037100,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005037200,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005037300,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005037504,HEALTHCARE,True,1.0,0.0,0.0,,,,
36005037504,INDEPENDENT,True,2.0,3.0,3.0,-1.0,-1.0,,
36005037900,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005038100,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005038301,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005038304,INDEPENDENT,False,2.0,2.0,2.0,0.0,0.0,,
36005038304,MAJOR CHAIN,False,1.0,1.0,1.0,,,0.0,0.0
36005038500,HEALTHCARE,True,1.0,0.0,0.0,,,,
36005038500,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005038600,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005038600,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005038700,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005038900,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005039000,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005039100,HEALTHCARE,True,1.0,1.0,0.0,,,,
36005039100,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005039100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005039300,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005039400,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005039500,INDEPENDENT,True,1.0,3.0,1.0,0.0,-2.0,,
36005039600,INDEPENDENT,True,2.0,2.0,0.0,2.0,0.0,,
36005039700,INDEPENDENT,True,3.0,3.0,1.0,2.0,0.0,,
36005039901,INDEPENDENT,True,3.0,4.0,4.0,-1.0,-1.0,,
36005039902,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005039902,INDEPENDENT,True,4.0,3.0,2.0,2.0,1.0,,
36005040100,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005040304,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005040400,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005040600,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005040701,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005040702,INDEPENDENT,True,3.0,2.0,1.0,2.0,1.0,,
36005041100,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005041500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005041800,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005041900,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005041900,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005042000,HEALTHCARE,True,1.0,1.0,1.0,,,,
